code,name,country,city
AAH,Aachen-Merzbrück Airport,Germany,Aachen
AAT,Altay Air Base,China,Altay
ABH,Alpha Airport,Australia,Alpha
ABM,Northern Peninsula Airport,Australia,Bamaga
ABX,Albury Airport,Australia,Albury
ACF,Brisbane Archerfield Airport,Australia,Brisbane
ACX,Xingyi Airport,China,Xingyi
ADL,Adelaide International Airport,Australia,Adelaide
ADO,Andamooka Airport,Australia,Roxby Downs
AEB,Baise Youjiang Airport,China,Baise
AEQ,Ar Horqin Airport,China,Chifeng
AGB,Augsburg Airport,Germany,Augsburg
AGE,Wangerooge Airport,Germany,Wangerooge
AGJ,Aguni Airport,Japan,Aguni
AGW,Agnew Airport,Australia,Agnew
AGY,Argyle Downs Airport,Australia,Argyle Downs
AHJ,Hongyuan Airport,China,Aba
AKA,Ankang Wulipu Airport,China,Ankang
AKJ,Asahikawa Airport,Japan,Asahikawa / Hokkaidō
AKU,Aksu Airport,China,Aksu
ALH,Albany Airport,Australia,Albany
ANZ,Angus Downs Airport,Australia,Angus Downs Station
AOC,Altenburg-Nobitz Airport,Germany,Altenburg
AOG,Anshan Air Base,China,Anshan
AOJ,Aomori Airport,Japan,Aomori
AQG,Anqing Tianzhushan Airport,China,Anqing
ARM,Armidale Airport,Australia,Armidale
ARY,Ararat Airport,Australia,Ararat
ASJ,Amami Airport,Japan,Amami
ASP,Alice Springs Airport,Australia,Alice Springs
AUU,Aurukun Airport,Australia,Aurukun
AVA,Anshun Huangguoshu Airport,China,Anshun
AVV,Avalon Airport,Australia,Melbourne
AXF,Alxa Left Banner Bayanhot Airport,China,Bayanhot
AXJ,Amakusa Airport,Japan,Hondo
AXT,Akita Airport,Japan,Akita
AYD,Alroy Downs Airport,Australia,Alroy Downs
AYN,Anyang Airport,China,Anyang
AYQ,Ayers Rock Connellan Airport,Australia,Ayers Rock
AYR,Ayr Airport,Australia,Ayr
BAO,Udorn Air Base,Thailand,Ban Mak Khaen
BAR,Qionghai Bo'ao Airport,China,Qionghai
BAV,Baotou Airport,China,Baotou
BBE,Big Bell Airport,Australia,Big Bell
BBH,Barth Airport,Germany,Barth
BBJ,Bitburg Airport,Germany,Bitburg
BCI,Barcaldine Airport,Australia,Barcaldine
BCZ,Milyakburra Airport,Australia,Bickerton Island
BDB,Bundaberg Airport,Australia,Bundaberg
BDD,Badu Island Airport,Australia,Thursday Island
BEE,Beagle Bay Airport,Australia,Beagle Bay
BEO,Lake Macquarie Airport,Australia,Newcastle
BER,Airport Berlin Brandenburg,Germany,Berlin
BFC,Bloomfield River Airport,Australia,Cooktown
BFE,Bielefeld Airport,Germany,Bielefeld
BFJ,Bijie Feixiong Airport,China,Bijie
BFU,Bengbu Airport,China,Bengbu
BFV,Buri Ram Airport,Thailand,Satuek
BHQ,Broken Hill Airport,Australia,Broken Hill
